workbook,target,sheet,role,pollutant,original_column,original_header,rows,source_numeric_cells,source_blank_cells,source_non_numeric_cells,export_numeric_cells,export_blank_cells,source_numeric_sum,export_numeric_sum,prior_export_numeric_sum,changed_values_from_prior_export,matched_cells,mismatched_cells,sum_equal
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,OC,CG,OC（t）,426,426,0,0,426,0,18.34844957065612779407,18.34844957065612779407,8986.525374233460602540,426,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,VOC,CH,VOC（t）,426,426,0,0,426,0,8986.525374233460602540,8986.525374233460602540,4309249.723288352615864464,426,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,NH3,CI,NH3（t）,426,426,0,0,426,0,5.700919209486166,5.700919209486166,5.700919209486166,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,SO2,CQ,SO2（t）,426,426,0,0,426,0,47203.075405303302974611134,47203.075405303302974611134,47203.075405303302974611134,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,NOx,CR,NOx（t）,426,426,0,0,426,0,258263.581691339551214976,258263.581691339551214976,258263.581691339551214976,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,CO,CS,CO（t）,426,426,0,0,426,0,371570.093290694556506339,371570.093290694556506339,371570.093290694556506339,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,PM10,CT,PM10（t）,426,426,0,0,426,0,31159.682135167960649611582,31159.682135167960649611582,21864.725432496436287665575,270,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,PM2.5,CU,PM2.5（t）,426,426,0,0,426,0,21864.725432496436287665575,21864.725432496436287665575,49.280835019281691249253,426,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,BC,CV,BC（t）,426,426,0,0,426,0,49.280835019281691249253,49.280835019281691249253,11.2594829350826248902616,265,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,OC,CW,OC（t）,426,426,0,0,426,0,11.2594829350826248902616,11.2594829350826248902616,8986.525374233460602540,426,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,VOC,CX,VOC（t）,426,426,0,0,426,0,8986.525374233460602540,8986.525374233460602540,31159.682135167960649611582,426,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,emission,NH3,CY,NH3（t）,426,426,0,0,426,0,5.700919209486166,5.700919209486166,5.700919209486166,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,generation,SO2,BX,SO2（t）,4160,4160,0,0,4160,0,17215.13934762155564209022909,17215.13934762155564209022909,17215.13934762155564209022909,0,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,generation,NOx,BY,NOx（t）,4160,4160,0,0,4160,0,20338.214988824201861801,20338.214988824201861801,20338.214988824201861801,0,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,generation,CO,BZ,CO（t）,4160,4160,0,0,4160,0,21259.66059792804542789,21259.66059792804542789,21259.66059792804542789,0,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,generation,PM10,CA,PM10（t）,4160,4160,0,0,4160,0,31973.7683658100434690687,31973.7683658100434690687,11251.8021733121626438487,295,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/01_S1表头形式扰动/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,generation,PM2.5,CB,PM2.5（t）,4160,4160,0,0,4160,0,11251.8021733121626438487,11251.8021733121626438487,254.5726739224426191851,4140,4160,0,True
